content
忙里偷闲，迎来第二个传奇宝箱[鼓掌] @部落冲突-皇室战争Clash-Royale   北京·西四  ???
北京·奥林匹克公园中心区（商圈） [星星][星星][星星][星星][星星]， #值得去# 第一次光临鸟巢水立方  北京·奥林匹克公园中心区（商圈）  ???
#今日贴纸打卡# 12日首游故宫，先小发一张[酷]  北京·明清紫禁城  ???
逛北大，升锅炉[二哈] @部落冲突-皇室战争Clash-Royale   北京·北京大学  ???
北京·北京大学 [星星][星星][星星][星星][星星]，感受中国顶尖学府，真长见识[酷]  北京·北京大学  ???
北京·清华大学本部 [星星][星星][星星][星星][星星]，清华园，崇拜之地[二哈]  北京·清华大学本部  ???
京城一锅羊蝎子，美味十足[强][强][强]  北京·五道口  ???
北京·聚德华天烤肉季(什刹海总店) [星星][星星][星星][星星][星星]，后海烤肉季，烤羊肉.红烧牛尾.羊肉串，真的是阔以[强]  北京·聚德华天烤肉季(什刹海总店)  ???
北京·颐和园 [星星][星星][星星][星星][星星]， #值得去# 皇家名园，风景独特，不错[强]  北京·颐和园  ???
冰法终于来了，真心不容易[污] @部落冲突-皇室战争Clash-Royale   北京·西四  ???
北京·天坛 [星星][星星][星星][星星][星星]，祈年殿，皇帝祈福[污]  北京·天坛  ???
早起，顶着大风去看升旗  北京·北京天安门  ???
送给未来男朋友的礼物  北京  ???
真的北京的兵哥哥炒鸡帅气，我的花痴心[心]  北京·朝阳公园  ???
兔兔那么可爱  北京  ???
此处空余文渊阁。乾隆为修贮四库全书的专门馆，然而四库全书全在台北故宫博物院。想起去年此时在台大图书馆里看到四库全书完整的复制本馆藏，有种说不出的滋味儿。  北京·故宫  ???
屯还是这个屯…人还是嗷嗷嗷嗷嗷嗷的多??????  北京·三里屯太古里  ???
首博的民俗馆还蛮有趣的，刚跨进去，一个小朋友直接拉着我得手去看福禄寿星，“姐姐，我给你讲讲寿星的故事吧！”  北京·首都博物馆  ???
二度进宫[并不简单] 来看看你们文物修的怎么样了  北京  ???
???落地  北京·北京华尔道夫酒店  ???
四点就来了（五点就要排队才能吃到了，进来的时候里面几乎已经坐满）虽然已经坐下了，但还是要等一个半小时的烤鸭[微笑]评价比大董还要好哦！  北京·四季民福（灯市口店）  ???
月亮]只想每天與妳說晚安  北京·北京华尔道夫酒店  ???
喜欢  北京  ???
北京·故宫养心殿(东华门街道) [星星][星星][星星][星星][星星]  北京·故宫养心殿(东华门街道)  ???
D1.故宫，景山公园，南锣鼓巷，什刹海  北京·北师大（商圈）  ???
感觉可以在里面待一礼拜  北京·中国国家博物馆  ???
D2：中南海，国博，前门大街  北京·菜市口  ???
D7-8：回帝都，朝阳一日游[睡]  北京·三里屯太古里  ???
分享图片  北京·中国农业科学院  ???
新买了香水，又看中一件羽绒服和包，计划元旦去旅游，我真是分分钟把下学期学费花光的节奏，于是羽绒衣和包就再见吧！！！ #冒个泡#  附上老毛对我爱的照片，这是多爱我才能拍的这么美 @傲偏情节   北京·中国农业科学院  ???
-2017/12/6 北京 周四 晴 -中午回宿舍路上的光与影  ???  北京·中国农业科学院  ???
今年北京的雾霾仿佛消失了，连续一个周的晴天[太阳]?，和小方要是有时间就从北牧场直接走回来，冷是冷，风景也是好[心]  ???  北京·皂君庙  ???
故宫东门外的湖一半结了冰，美的跟画似的。  北京·中国农业科学院  ???
嗯！过了2017就25了，很愉快的给自己买了套红ba，虽然只是中样（没钱啊，哭）希望可以拯救我衰老的脸，不过我的鱼尾纹和黑眼圈要怎么办！！  北京·皂君庙  ???
